filename, language, JSON, Properties, JavaScript, TypeScript React, Log, Batch, Markdown, Groovy, C++, Objective-C, TypeScript, XML, HTML, CSS, Java, comment, blank, total
c:\Users\bilal\Desktop\BayimSu\crm\src\redux\actions\loginAction.tsx, TypeScript React, 0, 0, 0, 79, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 33, 113
c:\Users\bilal\Desktop\BayimSu\crm\src\redux\actions\notificationAction.tsx, TypeScript React, 0, 0, 0, 153, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 42, 195
c:\Users\bilal\Desktop\BayimSu\crm\src\redux\actions\orderAction.tsx, TypeScript React, 0, 0, 0, 156, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 47, 203
c:\Users\bilal\Desktop\BayimSu\crm\src\redux\actions\orderDetailActions.tsx, TypeScript React, 0, 0, 0, 210, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 70, 280
c:\Users\bilal\Desktop\BayimSu\crm\src\redux\actions\productAction.tsx, TypeScript React, 0, 0, 0, 55, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 81
c:\Users\bilal\Desktop\BayimSu\crm\src\redux\actions\productAddAction.tsx, TypeScript React, 0, 0, 0, 54, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 64
c:\Users\bilal\Desktop\BayimSu\crm\src\redux\actions\productEditAction.tsx, TypeScript React, 0, 0, 0, 112, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 40, 152
c:\Users\bilal\Desktop\BayimSu\crm\src\redux\actions\productForCustomerAction.tsx, TypeScript React, 0, 0, 0, 53, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 72
c:\Users\bilal\Desktop\BayimSu\crm\src\redux\actions\profileActions.tsx, TypeScript React, 0, 0, 0, 315, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 95, 410
c:\Users\bilal\Desktop\BayimSu\crm\src\redux\actions\reportAction.tsx, TypeScript React, 0, 0, 0, 117, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 37, 154
c:\Users\bilal\Desktop\BayimSu\crm\src\redux\actions\signUpActions.tsx, TypeScript React, 0, 0, 0, 106, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 48, 175
c:\Users\bilal\Desktop\BayimSu\crm\src\redux\constants.ts, TypeScript, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 57, 0, 0, 0, 0, 0, 20, 77
c:\Users\bilal\Desktop\BayimSu\crm\src\redux\models\addCashModel.ts, TypeScript, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 5
c:\Users\bilal\Desktop\BayimSu\crm\src\redux\models\addCustomerPriceModel.tsx, TypeScript React, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6
c:\Users\bilal\Desktop\BayimSu\crm\src\redux\models\addEmployeeModel.ts, TypeScript, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 1, 12
c:\Users\bilal\Desktop\BayimSu\crm\src\redux\models\addOrderModel.ts, TypeScript, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 7
c:\Users\bilal\Desktop\BayimSu\crm\src\redux\models\addUserModel.ts, TypeScript, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 2, 8
c:\Users\bilal\Desktop\BayimSu\crm\src\redux\models\customerAddModel.ts, TypeScript, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 1, 6
c:\Users\bilal\Desktop\BayimSu\crm\src\redux\models\customerDefinedPriceModel.tsx, TypeScript React, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9
c:\Users\bilal\Desktop\BayimSu\crm\src\redux\models\customerDeleteModel.ts, TypeScript, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 1, 5
c:\Users\bilal\Desktop\BayimSu\crm\src\redux\models\customerEditModel.ts, TypeScript, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 1, 7
c:\Users\bilal\Desktop\BayimSu\crm\src\redux\models\customerPriceProductModel.ts, TypeScript, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 1, 5
c:\Users\bilal\Desktop\BayimSu\crm\src\redux\models\editOrderModel.ts, TypeScript, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 8
c:\Users\bilal\Desktop\BayimSu\crm\src\redux\models\employeeCostModel.ts, TypeScript, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 7
c:\Users\bilal\Desktop\BayimSu\crm\src\redux\models\employeeModel.ts, TypeScript, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 32, 0, 0, 0, 0, 0, 3, 35
c:\Users\bilal\Desktop\BayimSu\crm\src\redux\models\homeModel.ts, TypeScript, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 6, 24
c:\Users\bilal\Desktop\BayimSu\crm\src\redux\models\orderModel.ts, TypeScript, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 2, 16
c:\Users\bilal\Desktop\BayimSu\crm\src\redux\models\productAddModel.ts, TypeScript, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 7
c:\Users\bilal\Desktop\BayimSu\crm\src\redux\models\productEditModel.ts, TypeScript, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 1, 8
c:\Users\bilal\Desktop\BayimSu\crm\src\redux\models\productForCustomerModel.ts, TypeScript, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 1, 7
c:\Users\bilal\Desktop\BayimSu\crm\src\redux\models\productModel.ts, TypeScript, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 1, 8
c:\Users\bilal\Desktop\BayimSu\crm\src\redux\models\reportModel.ts, TypeScript, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 4, 18
c:\Users\bilal\Desktop\BayimSu\crm\src\redux\models\userModel.ts, TypeScript, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 5, 12
c:\Users\bilal\Desktop\BayimSu\crm\src\redux\reducers\addCashReducers.ts, TypeScript, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 0, 0, 0, 0, 0, 3, 33
